variant_intervals,identification
"1,1,2,1,2,1",Harmonic Major(no7) b2 Bebop
"1,2,1,2,1,4",Harmonic Major(no7) b2 Bebop 1 inversion
"2,1,2,1,4,1",Harmonic Major(no7) b2 Bebop 2 inversion
"1,2,1,4,1,1",Harmonic Major(no7) b2 Bebop 3 inversion
"2,1,4,1,1,2",Harmonic Major(no7) b2 Bebop 4 inversion
"1,4,1,1,2,1",Harmonic Major(no7) b2 Bebop 5 inversion
"4,1,1,2,1,2",Harmonic Major(no7) b2 Bebop 6 inversion
"1,1,2,1,2,2",Major Scale(no7) b2 Bebop
"1,2,1,2,2,3",Major Scale(no7) b2 Bebop 1 inversion
"2,1,2,2,3,1",Major Scale(no7) b2 Bebop 2 inversion
"1,2,2,3,1,1",Major Scale(no7) b2 Bebop 3 inversion
"2,2,3,1,1,2",Major Scale(no7) b2 Bebop 4 inversion
"2,3,1,1,2,1",Major Scale(no7) b2 Bebop 5 inversion
"3,1,1,2,1,2",Major Scale(no7) b2 Bebop 6 inversion
"2,3,2,1,1,2",Major Scale(no3) #5 Bebop
"3,2,1,1,2,1",Major Scale(no3) #5 Bebop 1 inversion
"2,1,1,2,1,2",Major Scale(no3) #5 Bebop 2 inversion
"1,1,2,1,2,3",Major Scale(no3) #5 Bebop 3 inversion
"1,2,1,2,3,2",Major Scale(no3) #5 Bebop 4 inversion
"2,1,2,3,2,1",Major Scale(no3) #5 Bebop 5 inversion
"1,2,3,2,1,1",Major Scale(no3) #5 Bebop 6 inversion
"3,1,1,2,1,3",Harmonic Major #2 Bebop
"1,1,2,1,3,1",Harmonic Major #2 Bebop 1 inversion
"1,2,1,3,1,3",Harmonic Major #2 Bebop 2 inversion
"2,1,3,1,3,1",Harmonic Major #2 Bebop 3 inversion
"1,3,1,3,1,1",Harmonic Major #2 Bebop 4 inversion
"3,1,3,1,1,2",Harmonic Major #2 Bebop 5 inversion
"1,3,1,1,2,1",Harmonic Major #2 Bebop 6 inversion
"3,2,2,1,1,2",Melodic Minor(add b6) Bebop(no2)
"2,2,1,1,2,1",Melodic Minor(add b6) Bebop(no2) 1 inversion
"2,1,1,2,1,3",Melodic Minor(add b6) Bebop(no2) 2 inversion
"1,1,2,1,3,2",Melodic Minor(add b6) Bebop(no2) 3 inversion
"1,2,1,3,2,2",Melodic Minor(add b6) Bebop(no2) 4 inversion
"2,1,3,2,2,1",Melodic Minor(add b6) Bebop(no2) 5 inversion
"1,3,2,2,1,1",Melodic Minor(add b6) Bebop(no2) 6 inversion
"4,1,2,1,1,2",Major(add b6) Bebop(no2)
"1,2,1,1,2,1",Major(add b6) Bebop(no2) 1 inversion
"2,1,1,2,1,4",Major(add b6) Bebop(no2) 2 inversion
"1,1,2,1,4,1",Major(add b6) Bebop(no2) 3 inversion
"1,2,1,4,1,2",Major(add b6) Bebop(no2) 4 inversion
"2,1,4,1,2,1",Major(add b6) Bebop(no2) 5 inversion
"1,4,1,2,1,1",Major(add b6) Bebop(no2) 6 inversion
"2,2,1,2,3,1",Major(add #6) Bebop
"2,1,2,3,1,1",Major(add #6) Bebop 1 inversion
"1,2,3,1,1,2",Major(add #6) Bebop 2 inversion
"2,3,1,1,2,2",Major(add #6) Bebop 3 inversion
"3,1,1,2,2,1",Major(add #6) Bebop 4 inversion
"1,1,2,2,1,2",Major(add #6) Bebop 5 inversion
"1,2,2,1,2,3",Major(add #6) Bebop 6 inversion
"3,2,1,1,2,2",Melodic Minor(add #4) Bebop(no2)
"2,1,1,2,2,1",Melodic Minor(add #4) Bebop(no2) 1 inversion
"1,1,2,2,1,3",Melodic Minor(add #4) Bebop(no2) 2 inversion
"1,2,2,1,3,2",Melodic Minor(add #4) Bebop(no2) 3 inversion
"2,2,1,3,2,1",Melodic Minor(add #4) Bebop(no2) 4 inversion
"2,1,3,2,1,1",Melodic Minor(add #4) Bebop(no2) 5 inversion
"1,3,2,1,1,2",Melodic Minor(add #4) Bebop(no2) 6 inversion
"3,1,1,2,2,2",Melodic Minor Scale #2 Bebop
"1,1,2,2,2,1",Melodic Minor Scale #2 Bebop 1 inversion
"1,2,2,2,1,3",Melodic Minor Scale #2 Bebop 2 inversion
"2,2,2,1,3,1",Melodic Minor Scale #2 Bebop 3 inversion
"2,2,1,3,1,1",Melodic Minor Scale #2 Bebop 4 inversion
"2,1,3,1,1,2",Melodic Minor Scale #2 Bebop 5 inversion
"1,3,1,1,2,2",Melodic Minor Scale #2 Bebop 6 inversion
"1,1,2,2,2,2",Whole Tone(add b2) Bebop
"1,2,2,2,2,2",Whole Tone(add b2) Bebop 1 inversion
"2,2,2,2,2,1",Whole Tone(add b2) Bebop 2 inversion
"2,2,2,2,1,1",Whole Tone(add b2) Bebop 3 inversion
"2,2,2,1,1,2",Whole Tone(add b2) Bebop 4 inversion
"2,2,1,1,2,2",Whole Tone(add b2) Bebop 5 inversion
"2,1,1,2,2,2",Whole Tone(add b2) Bebop 6 inversion
"1,2,1,1,2,2",-2Melodic Minor(rootless)(add b5) Bebop
"2,1,1,2,2,3",-2Melodic Minor(rootless)(add b5) Bebop 1 inversion
"1,1,2,2,3,1",-2Melodic Minor(rootless)(add b5) Bebop 2 inversion
"1,2,2,3,1,2",-2Melodic Minor(rootless)(add b5) Bebop 3 inversion
"2,2,3,1,2,1",-2Melodic Minor(rootless)(add b5) Bebop 4 inversion
