variant_intervals,identification
"2,3,1,2,1,1",-2Melodic Minor(rootless)(add b5) Bebop 5 inversion
"3,1,2,1,1,2",-2Melodic Minor(rootless)(add b5) Bebop 6 inversion
"1,2,2,1,1,2",-2Melodic Minor(rootless)(add #5) Bebop
"2,2,1,1,2,3",-2Melodic Minor(rootless)(add #5) Bebop 1 inversion
"2,1,1,2,3,1",-2Melodic Minor(rootless)(add #5) Bebop 2 inversion
"1,1,2,3,1,2",-2Melodic Minor(rootless)(add #5) Bebop 3 inversion
"1,2,3,1,2,2",-2Melodic Minor(rootless)(add #5) Bebop 4 inversion
"2,3,1,2,2,1",-2Melodic Minor(rootless)(add #5) Bebop 5 inversion
"3,1,2,2,1,1",-2Melodic Minor(rootless)(add #5) Bebop 6 inversion
"2,1,2,1,1,2",Melodic Minor(no7)(add b5) Bebop
"1,2,1,1,2,3",Melodic Minor(no7)(add b5) Bebop 1 inversion
"2,1,1,2,3,2",Melodic Minor(no7)(add b5) Bebop 2 inversion
"1,1,2,3,2,1",Melodic Minor(no7)(add b5) Bebop 3 inversion
"1,2,3,2,1,2",Melodic Minor(no7)(add b5) Bebop 4 inversion
"2,3,2,1,2,1",Melodic Minor(no7)(add b5) Bebop 5 inversion
"3,2,1,2,1,1",Melodic Minor(no7)(add b5) Bebop 6 inversion
"2,1,3,1,1,3",Harmonic Minor #4 Bebop
"1,3,1,1,3,1",Harmonic Minor #4 Bebop 1 inversion
"3,1,1,3,1,2",Harmonic Minor #4 Bebop 2 inversion
"1,1,3,1,2,1",Harmonic Minor #4 Bebop 3 inversion
"1,3,1,2,1,3",Harmonic Minor #4 Bebop 4 inversion
"3,1,2,1,3,1",Harmonic Minor #4 Bebop 5 inversion
"1,2,1,3,1,1",Harmonic Minor #4 Bebop 6 inversion
"1,3,1,2,2,2",Major Scale b2 Bebop
"3,1,2,2,2,1",Major Scale b2 Bebop 1 inversion
"1,2,2,2,1,1",Major Scale b2 Bebop 2 inversion
"2,2,2,1,1,3",Major Scale b2 Bebop 3 inversion
"2,2,1,1,3,1",Major Scale b2 Bebop 4 inversion
"2,1,1,3,1,2",Major Scale b2 Bebop 5 inversion
"1,1,3,1,2,2",Major Scale b2 Bebop 6 inversion
"2,1,1,3,1,3",Harmonic Major(no4)(add #2) Bebop
"1,1,3,1,3,1",Harmonic Major(no4)(add #2) Bebop 1 inversion
"1,3,1,3,1,2",Harmonic Major(no4)(add #2) Bebop 2 inversion
"3,1,3,1,2,1",Harmonic Major(no4)(add #2) Bebop 3 inversion
"1,3,1,2,1,1",Harmonic Major(no4)(add #2) Bebop 4 inversion
"3,1,2,1,1,3",Harmonic Major(no4)(add #2) Bebop 5 inversion
"1,2,1,1,3,1",Harmonic Major(no4)(add #2) Bebop 6 inversion
"2,1,2,2,1,1",Melodic Minor(add b6) Bebop(no7)
"1,2,2,1,1,3",Melodic Minor(add b6) Bebop(no7) 1 inversion
"2,2,1,1,3,2",Melodic Minor(add b6) Bebop(no7) 2 inversion
"2,1,1,3,2,1",Melodic Minor(add b6) Bebop(no7) 3 inversion
"1,1,3,2,1,2",Melodic Minor(add b6) Bebop(no7) 4 inversion
"1,3,2,1,2,2",Melodic Minor(add b6) Bebop(no7) 5 inversion
"3,2,1,2,2,1",Melodic Minor(add b6) Bebop(no7) 6 inversion
"2,2,1,2,1,1",Major(add b6) Bebop(no7)
"2,1,2,1,1,3",Major(add b6) Bebop(no7) 1 inversion
"1,2,1,1,3,2",Major(add b6) Bebop(no7) 2 inversion
"2,1,1,3,2,2",Major(add b6) Bebop(no7) 3 inversion
"1,1,3,2,2,1",Major(add b6) Bebop(no7) 4 inversion
"1,3,2,2,1,2",Major(add b6) Bebop(no7) 5 inversion
"3,2,2,1,2,1",Major(add b6) Bebop(no7) 6 inversion
"2,1,2,1,1,4",Harmonic Minor(no6)(add b5) Bebop
"1,2,1,1,4,1",Harmonic Minor(no6)(add b5) Bebop 1 inversion
"2,1,1,4,1,2",Harmonic Minor(no6)(add b5) Bebop 2 inversion
"1,1,4,1,2,1",Harmonic Minor(no6)(add b5) Bebop 3 inversion
"1,4,1,2,1,2",Harmonic Minor(no6)(add b5) Bebop 4 inversion
"4,1,2,1,2,1",Harmonic Minor(no6)(add b5) Bebop 5 inversion
"1,2,1,2,1,1",Harmonic Minor(no6)(add b5) Bebop 6 inversion
"1,2,1,2,1,2",Diminished Scale(no8)
"2,1,2,1,2,3",Diminished Scale(no8) 1 inversion
"1,2,1,2,3,1",Diminished Scale(no8) 2 inversion
"2,1,2,3,1,2",Diminished Scale(no8) 3 inversion
"1,2,3,1,2,1",Diminished Scale(no8) 4 inversion
"2,3,1,2,1,2",Diminished Scale(no8) 5 inversion
"3,1,2,1,2,1",Diminished Scale(no8) 6 inversion
"1,2,1,2,1,3",Diminished Scale(no7)
"2,1,2,1,3,2",Diminished Scale(no7) 1 inversion
"1,2,1,3,2,1",Diminished Scale(no7) 2 inversion
"2,1,3,2,1,2",Diminished Scale(no7) 3 inversion
"1,3,2,1,2,1",Diminished Scale(no7) 4 inversion
"3,2,1,2,1,2",Diminished Scale(no7) 5 inversion
"2,1,2,1,2,1",Diminished Scale(no7) 6 inversion
"2,1,2,2,1,3",Harmonic Minor
"1,2,2,1,3,1",Harmonic Minor 1 inversion
"2,2,1,3,1,2",Harmonic Minor 2 inversion
"2,1,3,1,2,1",Harmonic Minor 3 inversion
"1,3,1,2,1,2",Harmonic Minor 4 inversion
"3,1,2,1,2,2",Harmonic Minor 5 inversion
"1,2,1,2,2,1",Harmonic Minor 6 inversion
"2,1,2,2,2,2",Melodic Minor
"1,2,2,2,2,1",Melodic Minor 1 inversion
"2,2,2,2,1,2",Melodic Minor 2 inversion
"2,2,2,1,2,1",Melodic Minor 3 inversion
"2,2,1,2,1,2",Melodic Minor 4 inversion
"2,1,2,1,2,2",Melodic Minor 5 inversion
"1,2,1,2,2,2",Melodic Minor 6 inversion
"2,2,1,2,1,3",Harmonic Major
"2,1,2,1,3,1",Harmonic Major 1 inversion
"1,2,1,3,1,2",Harmonic Major 2 inversion
"2,1,3,1,2,2",Harmonic Major 3 inversion
"1,3,1,2,2,1",Harmonic Major 4 inversion
"3,1,2,2,1,2",Harmonic Major 5 inversion
"1,2,2,1,2,1",Harmonic Major 6 inversion
"2,2,1,2,2,2",Major Scale
"2,1,2,2,2,1",Major Scale 1 inversion
"1,2,2,2,1,2",Major Scale 2 inversion
"2,2,2,1,2,2",Major Scale 3 inversion
"2,2,1,2,2,1",Major Scale 4 inversion
"2,1,2,2,1,2",Major Scale 5 inversion
"1,2,2,1,2,2",Major Scale 6 inversion
