intervals,notes,identification
"3,4,4,1","C,Eb,G,B",Minor-Major7 (mMaj7)
"4,3,4,1","C,E,G,B",Major7
"4,4,3,1","C,E,Ab,B",Augmented Major7
"2,2,4,4","C,D,E,Ab",Augmented (add 2)
"3,3,4,2","C,Eb,Gb,Bb",Half-diminished (m7b5)
"3,4,3,2","C,Eb,G,Bb",Minor7
"4,2,4,2","C,E,Gb,Bb",Dominant7 b5
"4,3,3,2","C,E,G,Bb",Dominant7
"3,3,3,3","C,Eb,Gb,A",Fully diminished
