intervals,notes,identification
"2,1,2,2,1,1,2,1","C,D,Eb,F,G,Ab,A,B",Melodic Minor(add b6) Bebop Scale
"2,2,1,2,1,1,2,1","C,D,E,F,G,Ab,A,B",Major(add b6) Bebop Scale
"2,1,2,1,1,2,2,1","C,D,Eb,F,Gb,G,A,B",Melodic Minor(add #4) Bebop Scale
"1,2,1,2,1,2,1,2","C,Db,Eb,E,Gb,G,A,Bb",Diminished Scale
