variant_intervals,identification
1,Half Step
2,Major 2nd
3,Minor 3rd
4,Major 3rd
5,Perfect Fourth
6,Tritone
7,Perfect Fifth
8,Minor 6th
9,Major 6th
10,Minor 7th
11,Major 7th
