variant_intervals,identification
"1,1,2,1",Major(no5)(add b2)(add 2)(add 4)
"1,2,1,7",Major(no5)(add b2)(add 2)(add 4) 1 inversion
"2,1,7,1",Major(no5)(add b2)(add 2)(add 4) 2 inversion
"1,7,1,1",Major(no5)(add b2)(add 2)(add 4) 3 inversion
"7,1,1,2",Major(no5)(add b2)(add 2)(add 4) 4 inversion
"2,2,6,1",Major 7(add 2)(add b7)
"2,6,1,1",Major 7(add 2)(add b7) 1 inversion
"6,1,1,2",Major 7(add 2)(add b7) 2 inversion
"1,1,2,2",Major 7(add 2)(add b7) 3 inversion
"1,2,2,6",Major 7(add 2)(add b7) 4 inversion
"1,1,2,3",Major(add 2)(add b2)
"1,2,3,5",Major(add 2)(add b2) 1 inversion
"2,3,5,1",Major(add 2)(add b2) 2 inversion
"3,5,1,1",Major(add 2)(add b2) 3 inversion
"5,1,1,2",Major(add 2)(add b2) 4 inversion
"1,1,2,4",Augmented(add 2)(add b2)
"1,2,4,4",Augmented(add 2)(add b2) 1 inversion
"2,4,4,1",Augmented(add 2)(add b2) 2 inversion
"4,4,1,1",Augmented(add 2)(add b2) 3 inversion
"4,1,1,2",Augmented(add 2)(add b2) 4 inversion
"3,1,1,2",Major(add #2)(add 4)
"1,1,2,5",Major(add #2)(add 4) 1 inversion
"1,2,5,3",Major(add #2)(add 4) 2 inversion
"2,5,3,1",Major(add #2)(add 4) 3 inversion
"5,3,1,1",Major(add #2)(add 4) 4 inversion
"1,1,2,6",7(no5)(add b2)(add 2)
"1,2,6,2",7(no5)(add b2)(add 2) 1 inversion
"2,6,2,1",7(no5)(add b2)(add 2) 2 inversion
"6,2,1,1",7(no5)(add b2)(add 2) 3 inversion
"2,1,1,2",7(no5)(add b2)(add 2) 4 inversion
"3,1,6,1",Major7(no5)(add #2)(add b7)
"1,6,1,1",Major7(no5)(add #2)(add b7) 1 inversion
"6,1,1,3",Major7(no5)(add #2)(add b7) 2 inversion
"1,1,3,1",Major7(no5)(add #2)(add b7) 3 inversion
"1,3,1,6",Major7(no5)(add #2)(add b7) 4 inversion
"2,5,1,1",sus2(add b6)(add 6)
"5,1,1,3",sus2(add b6)(add 6) 1 inversion
"1,1,3,2",sus2(add b6)(add 6) 2 inversion
"1,3,2,5",sus2(add b6)(add 6) 3 inversion
"3,2,5,1",sus2(add b6)(add 6) 4 inversion
"3,4,1,1",Minor6(add b6)
"4,1,1,3",Minor6(add b6) 1 inversion
"1,1,3,3",Minor6(add b6) 2 inversion
"1,3,3,4",Minor6(add b6) 3 inversion
"3,3,4,1",Minor6(add b6) 4 inversion
"4,3,1,1",Major6(add b6)
"3,1,1,3",Major6(add b6) 1 inversion
"1,1,3,4",Major6(add b6) 2 inversion
"1,3,4,3",Major6(add b6) 3 inversion
"3,4,3,1",Major6(add b6) 4 inversion
"2,1,1,3",Major(add 2)(add #2)
"1,1,3,5",Major(add 2)(add #2) 1 inversion
"1,3,5,2",Major(add 2)(add #2) 2 inversion
"3,5,2,1",Major(add 2)(add #2) 3 inversion
"5,2,1,1",Major(add 2)(add #2) 4 inversion
"1,1,4,1",sus2(add b2)(add b5)
"1,4,1,5",sus2(add b2)(add b5) 1 inversion
"4,1,5,1",sus2(add b2)(add b5) 2 inversion
