variant_intervals,identification
"1,5,1,1",sus2(add b2)(add b5) 3 inversion
"5,1,1,4",sus2(add b2)(add b5) 4 inversion
"2,4,1,1",sus2(add b5)(add #5)
"4,1,1,4",sus2(add b5)(add #5) 1 inversion
"1,1,4,2",sus2(add b5)(add #5) 2 inversion
"1,4,2,4",sus2(add b5)(add #5) 3 inversion
"4,2,4,1",sus2(add b5)(add #5) 4 inversion
"4,3,3,1",Major7(add b7)
"3,3,1,1",Major7(add b7) 1 inversion
"3,1,1,4",Major7(add b7) 2 inversion
"1,1,4,3",Major7(add b7) 3 inversion
"1,4,3,3",Major7(add b7) 4 inversion
"4,2,1,1",Major(add b5)(add #5)
"2,1,1,4",Major(add b5)(add #5) 1 inversion
"1,1,4,4",Major(add b5)(add #5) 2 inversion
"1,4,4,2",Major(add b5)(add #5) 3 inversion
"4,4,2,1",Major(add b5)(add #5) 4 inversion
"4,1,1,5",Major7 b5(add 4)
"1,1,5,1",Major7 b5(add 4) 1 inversion
"1,5,1,4",Major7 b5(add 4) 2 inversion
"5,1,4,1",Major7 b5(add 4) 3 inversion
"1,4,1,1",Major7 b5(add 4) 4 inversion
"1,1,5,2",sus2(add b2)(add 6)
"1,5,2,3",sus2(add b2)(add 6) 1 inversion
"5,2,3,1",sus2(add b2)(add 6) 2 inversion
"2,3,1,1",sus2(add b2)(add 6) 3 inversion
"3,1,1,5",sus2(add b2)(add 6) 4 inversion
"1,1,5,3",7sus2(add b2)
"1,5,3,2",7sus2(add b2) 1 inversion
"5,3,2,1",7sus2(add b2) 2 inversion
"3,2,1,1",7sus2(add b2) 3 inversion
"2,1,1,5",7sus2(add b2) 4 inversion
"1,3,1,1",Major b5(add b2)(add 4)
"3,1,1,6",Major b5(add b2)(add 4) 1 inversion
"1,1,6,1",Major b5(add b2)(add 4) 2 inversion
"1,6,1,3",Major b5(add b2)(add 4) 3 inversion
"6,1,3,1",Major b5(add b2)(add 4) 4 inversion
"2,2,1,1",Major b5(add 2)(add 4)
"2,1,1,6",Major b5(add 2)(add 4) 1 inversion
"1,1,6,2",Major b5(add 2)(add 4) 2 inversion
"1,6,2,2",Major b5(add 2)(add 4) 3 inversion
"6,2,2,1",Major b5(add 2)(add 4) 4 inversion
"2,1,1,7",Major7(no5)(add2)(add #2)
"1,1,7,1",Major7(no5)(add2)(add #2) 1 inversion
"1,7,1,2",Major7(no5)(add2)(add #2) 2 inversion
"7,1,2,1",Major7(no5)(add2)(add #2) 3 inversion
"1,2,1,1",Major7(no5)(add2)(add #2) 4 inversion
"1,2,1,2","Diminished(add b2,#2)"
"2,1,2,6","Diminished(add b2,#2) 1 inversion"
"1,2,6,1","Diminished(add b2,#2) 2 inversion"
"2,6,1,2","Diminished(add b2,#2) 3 inversion"
"6,1,2,1","Diminished(add b2,#2) 4 inversion"
"1,2,1,3","Major(add b2,#2)"
"2,1,3,5","Major(add b2,#2) 1 inversion"
"1,3,5,1","Major(add b2,#2) 2 inversion"
"3,5,1,2","Major(add b2,#2) 3 inversion"
"5,1,2,1","Major(add b2,#2) 4 inversion"
"4,4,1,2",Augmented7(add6)
"4,1,2,1",Augmented7(add6) 1 inversion
"1,2,1,4",Augmented7(add6) 2 inversion
"2,1,4,4",Augmented7(add6) 3 inversion
"1,4,4,1",Augmented7(add6) 4 inversion
"2,1,5,3",MinorMajor7(add 2) #5
"1,5,3,1",MinorMajor7(add 2) #5 1 inversion
"5,3,1,2",MinorMajor7(add 2) #5 2 inversion
"3,1,2,1",MinorMajor7(add 2) #5 3 inversion
"1,2,1,5",MinorMajor7(add 2) #5 4 inversion
"2,1,2,1","Diminished(add 2,4)"
"1,2,1,6","Diminished(add 2,4) 1 inversion"
"2,1,6,2","Diminished(add 2,4) 2 inversion"
"1,6,2,1","Diminished(add 2,4) 3 inversion"
"6,2,1,2","Diminished(add 2,4) 4 inversion"
"1,2,2,1",Diminshed(add 4) b2
"2,2,1,6",Diminshed(add 4) b2 1 inversion
"2,1,6,1",Diminshed(add 4) b2 2 inversion
"1,6,1,2",Diminshed(add 4) b2 3 inversion
"6,1,2,2",Diminshed(add 4) b2 4 inversion
"2,2,2,5",Major7(add 2) b5
"2,2,5,1",Major7(add 2) b5 1 inversion
"2,5,1,2",Major7(add 2) b5 2 inversion
"5,1,2,2",Major7(add 2) b5 3 inversion
"1,2,2,2",Major7(add 2) b5 4 inversion
"3,4,1,2",Minor7 b6
"4,1,2,2",Minor7 b6 1 inversion
"1,2,2,3",Minor7 b6 2 inversion
"2,2,3,4",Minor7 b6 3 inversion
"2,3,4,1",Minor7 b6 4 inversion
"4,3,1,2",7 b6
"3,1,2,2",7 b6 1 inversion
"1,2,2,4",7 b6 2 inversion
"2,2,4,3",7 b6 3 inversion
"2,4,3,1",7 b6 4 inversion
"2,5,2,1",7sus2(add 6)
"5,2,1,2",7sus2(add 6) 1 inversion
"2,1,2,2",7sus2(add 6) 2 inversion
"1,2,2,5",7sus2(add 6) 3 inversion
"2,2,5,2",7sus2(add 6) 4 inversion
"1,2,3,1",Minor #4 b2
"2,3,1,5",Minor #4 b2 1 inversion
"3,1,5,1",Minor #4 b2 2 inversion
"1,5,1,2",Minor #4 b2 3 inversion
"5,1,2,3",Minor #4 b2 4 inversion
"2,3,2,4",Major7sus2sus4
"3,2,4,1",Major7sus2sus4 1 inversion
"2,4,1,2",Major7sus2sus4 2 inversion
"4,1,2,3",Major7sus2sus4 3 inversion
"1,2,3,2",Major7sus2sus4 4 inversion
"1,2,3,3",Fully diminished b2
"2,3,3,3",Fully diminished b2 1 inversion
"3,3,3,1",Fully diminished b2 2 inversion
"3,3,1,2",Fully diminished b2 3 inversion
"3,1,2,3",Fully diminished b2 4 inversion
"1,2,3,4",Minor7 b5 #2
"2,3,4,2",Minor7 b5 #2 1 inversion
"3,4,2,1",Minor7 b5 #2 2 inversion
"4,2,1,2",Minor7 b5 #2 3 inversion
"2,1,2,3",Minor7 b5 #2 4 inversion
"4,1,2,4",Major7(add 4)
"1,2,4,1",Major7(add 4) 1 inversion
"2,4,1,4",Major7(add 4) 2 inversion
"4,1,4,1",Major7(add 4) 3 inversion
"1,4,1,2",Major7(add 4) 4 inversion
"1,2,4,2",Minor6 #2
"2,4,2,3",Minor6 #2 1 inversion
"4,2,3,1",Minor6 #2 2 inversion
"2,3,1,2",Minor6 #2 3 inversion
"3,1,2,4",Minor6 #2 4 inversion
"1,2,4,3",Minor7 #2
"2,4,3,2",Minor7 #2 1 inversion
"4,3,2,1",Minor7 #2 2 inversion
"3,2,1,2",Minor7 #2 3 inversion
"2,1,2,4",Minor7 #2 4 inversion
"3,1,2,5",Major7 b5 #2
"1,2,5,1",Major7 b5 #2 1 inversion
"2,5,1,3",Major7 b5 #2 2 inversion
"5,1,3,1",Major7 b5 #2 3 inversion
"1,3,1,2",Major7 b5 #2 4 inversion
"2,5,2,2",Major7sus2(add 6)
"5,2,2,1",Major7sus2(add 6) 1 inversion
"2,2,1,2",Major7sus2(add 6) 2 inversion
"2,1,2,5",Major7sus2(add 6) 3 inversion
"1,2,5,2",Major7sus2(add 6) 4 inversion
"3,1,3,4",Major7 #2
"1,3,4,1",Major7 #2 1 inversion
"3,4,1,3",Major7 #2 2 inversion
"4,1,3,1",Major7 #2 3 inversion
"1,3,1,3",Major7 #2 4 inversion
"4,3,1,3",Major7 b6
"3,1,3,1",Major7 b6 1 inversion
"1,3,1,4",Major7 b6 2 inversion
"3,1,4,3",Major7 b6 3 inversion
"1,4,3,1",Major7 b6 4 inversion
"5,2,1,3",Major7sus4 b6
"2,1,3,1",Major7sus4 b6 1 inversion
"1,3,1,5",Major7sus4 b6 2 inversion
"3,1,5,2",Major7sus4 b6 3 inversion
"1,5,2,1",Major7sus4 b6 4 inversion
"1,3,2,1",Major #4 b2
"3,2,1,5",Major #4 b2 1 inversion
"2,1,5,1",Major #4 b2 2 inversion
"1,5,1,3",Major #4 b2 3 inversion
"5,1,3,2",Major #4 b2 4 inversion
"3,2,2,4",MinorMajor7(add 4)
"2,2,4,1",MinorMajor7(add 4) 1 inversion
"2,4,1,3",MinorMajor7(add 4) 2 inversion
"4,1,3,2",MinorMajor7(add 4) 3 inversion
"1,3,2,2",MinorMajor7(add 4) 4 inversion
"3,3,1,3",Minor7 #4
"3,1,3,2",Minor7 #4 1 inversion
"1,3,2,3",Minor7 #4 2 inversion
"3,2,3,3",Minor7 #4 3 inversion
"2,3,3,1",Minor7 #4 4 inversion
"4,2,1,3",7 #4
"2,1,3,2",7 #4 1 inversion
"1,3,2,4",7 #4 2 inversion
"3,2,4,2",7 #4 3 inversion
"2,4,2,1",7 #4 4 inversion
"1,3,3,1",Major b2 b6
"3,3,1,4",Major b2 b6 1 inversion
"3,1,4,1",Major b2 b6 2 inversion
"1,4,1,3",Major b2 b6 3 inversion
"4,1,3,3",Major b2 b6 4 inversion
"1,3,3,2",Major6 b2
"3,3,2,3",Major6 b2 1 inversion
"3,2,3,1",Major6 b2 2 inversion
"2,3,1,3",Major6 b2 3 inversion
"3,1,3,3",Major6 b2 4 inversion
"1,3,3,3",7 b2
"3,3,3,2",7 b2 1 inversion
"3,3,2,1",7 b2 2 inversion
"3,2,1,3",7 b2 3 inversion
"2,1,3,3",7 b2 4 inversion
"3,4,2,2",MinorMajor7(add 6)
"4,2,2,1",MinorMajor7(add 6) 1 inversion
"2,2,1,3",MinorMajor7(add 6) 2 inversion
"2,1,3,4",MinorMajor7(add 6) 3 inversion
"1,3,4,2",MinorMajor7(add 6) 4 inversion
"4,2,1,4",Major7 #4
"2,1,4,1",Major7 #4 1 inversion
"1,4,1,4",Major7 #4 2 inversion
"4,1,4,2",Major7 #4 3 inversion
"1,4,2,1",Major7 #4 4 inversion
"2,2,3,1",Major(add 2) b6
"2,3,1,4",Major(add 2) b6 1 inversion
"3,1,4,2",Major(add 2) b6 2 inversion
"1,4,2,2",Major(add 2) b6 3 inversion
"4,2,2,3",Major(add 2) b6 4 inversion
"4,2,3,2",Major7(add6) b5
"2,3,2,1",Major7(add6) b5 1 inversion
"3,2,1,4",Major7(add6) b5 2 inversion
"2,1,4,2",Major7(add6) b5 3 inversion
"1,4,2,3",Major7(add6) b5 4 inversion
"4,3,2,2",Major7(add 6)
"3,2,2,1",Major7(add 6) 1 inversion
"2,2,1,4",Major7(add 6) 2 inversion
"2,1,4,3",Major7(add 6) 3 inversion
"1,4,3,2",Major7(add 6) 4 inversion
"2,2,2,1",Major(add 2) #4
"2,2,1,5",Major(add 2) #4 1 inversion
"2,1,5,2",Major(add 2) #4 2 inversion
"1,5,2,2",Major(add 2) #4 3 inversion
"5,2,2,2",Major(add 2) #4 4 inversion
"2,2,2,2",Augmented(add 2) #4
"2,2,2,4",Augmented(add 2) #4 1 inversion
"2,2,4,2",Augmented(add 2) #4 2 inversion
"2,4,2,2",Augmented(add 2) #4 3 inversion
"4,2,2,2",Augmented(add 2) #4 4 inversion
"2,2,2,3",7(add 2)
"2,2,3,3",7(add 2) 1 inversion
"2,3,3,2",7(add 2) 2 inversion
"3,3,2,2",7(add 2) 3 inversion
"3,2,2,2",7(add 2) 4 inversion
"2,2,3,2",Major(add 2)(add 6)
"2,3,2,3",Major(add 2)(add 6) 1 inversion
"3,2,3,2",Major(add 2)(add 6) 2 inversion
"2,3,2,2",Major(add 2)(add 6) 3 inversion
"3,2,2,3",Major(add 2)(add 6) 4 inversion
