intervals,notes,identification
"1,2,1,2,1,2,3","C,Db,Eb,E,Gb,G,A",Diminished Scale(no8)
"1,2,1,2,1,3,2","C,Db,Eb,E,Gb,G,Bb",Diminished Scale(no7)
"2,1,2,2,1,3,1","C,D,Eb,F,G,Ab,B",Harmonic Minor
"2,1,2,2,2,2,1","C,D,Eb,F,G,A,B",Melodic Minor
"2,2,1,2,1,3,1","C,D,E,F,G,Ab,B",Harmonic Major
"2,2,1,2,2,2,1","C,D,E,F,G,A,B",Major Scale
