variant_intervals,identification
"1,1,2",Major(add 2)(add b2)(no 5)
"1,2,8",Major(add 2)(add b2)(no 5) 1 inversion
"2,8,1",Major(add 2)(add b2)(no 5) 2 inversion
"8,1,1",Major(add 2)(add b2)(no 5) 3 inversion
"7,1,1",6(no3)(add b6)
"1,1,3",6(no3)(add b6) 1 inversion
"1,3,7",6(no3)(add b6) 2 inversion
"3,7,1",6(no3)(add b6) 3 inversion
"4,6,1",Major7(no5)(add b7)
"6,1,1",Major7(no5)(add b7) 1 inversion
"1,1,4",Major7(no5)(add b7) 2 inversion
"1,4,6",Major7(no5)(add b7) 3 inversion
"1,1,5",sus2(add b2)
"1,5,5",sus2(add b2) 1 inversion
"5,5,1",sus2(add b2) 2 inversion
"5,1,1",sus2(add b2) 3 inversion
"4,1,1",Major b5(add 4)
"1,1,6",Major b5(add 4) 1 inversion
"1,6,4",Major b5(add 4) 2 inversion
"6,4,1",Major b5(add 4) 3 inversion
"7,3,1",Major7(no3)(add b7)
"3,1,1",Major7(no3)(add b7) 1 inversion
"1,1,7",Major7(no3)(add b7) 2 inversion
"1,7,3",Major7(no3)(add b7) 3 inversion
"2,1,1",Major(no5)(add 2)(add b2)
"1,1,8",Major(no5)(add 2)(add b2) 1 inversion
"1,8,2",Major(no5)(add 2)(add b2) 2 inversion
"8,2,1",Major(no5)(add 2)(add b2) 3 inversion
"1,2,1",Half-Whole
"2,1,8",Half-Whole 1 inversion
"1,8,1",Half-Whole 2 inversion
"8,1,2",Half-Whole 3 inversion
"2,2,7",Major7(no5)(add2)
"2,7,1",Major7(no5)(add2) 1 inversion
"7,1,2",Major7(no5)(add2) 2 inversion
"1,2,2",Major7(no5)(add2) 3 inversion
"1,2,3",Diminished b2
"2,3,6",Diminished b2 1 inversion
"3,6,1",Diminished b2 2 inversion
"6,1,2",Diminished b2 3 inversion
"1,2,4",Minor b2
"2,4,5",Minor b2 1 inversion
"4,5,1",Minor b2 2 inversion
"5,1,2",Minor b2 3 inversion
"4,1,2",Major(add 4)
"1,2,5",Major(add 4) 1 inversion
"2,5,4",Major(add 4) 2 inversion
"5,4,1",Major(add 4) 3 inversion
"1,2,6",Diminished(no5) b2
"2,6,3",Diminished(no5) b2 1 inversion
"6,3,1",Diminished(no5) b2 2 inversion
"3,1,2",Diminished(no5) b2 3 inversion
"1,2,7",Minor7(no5) b2
"2,7,2",Minor7(no5) b2 1 inversion
"7,2,1",Minor7(no5) b2 2 inversion
"2,1,2",Minor7(no5) b2 3 inversion
"1,3,1",Major(no5)(add 4) b2
"3,1,7",Major(no5)(add 4) b2 1 inversion
"1,7,1",Major(no5)(add 4) b2 2 inversion
"7,1,3",Major(no5)(add 4) b2 3 inversion
"3,2,6",MinorMajor7(no5)(add4)
"2,6,1",MinorMajor7(no5)(add4) 1 inversion
"6,1,3",MinorMajor7(no5)(add4) 2 inversion
"1,3,2",MinorMajor7(no5)(add4) 3 inversion
"3,3,5",MinorMajor7 b5
"3,5,1",MinorMajor7 b5 1 inversion
"5,1,3",MinorMajor7 b5 2 inversion
"1,3,3",MinorMajor7 b5 3 inversion
