variant_intervals,identification
"1,1,2,1,2","Major Scale(no6,no7)(add b2) Bebop"
"1,2,1,2,5","Major Scale(no6,no7)(add b2) Bebop 1 inversion"
"2,1,2,5,1","Major Scale(no6,no7)(add b2) Bebop 2 inversion"
"1,2,5,1,1","Major Scale(no6,no7)(add b2) Bebop 3 inversion"
"2,5,1,1,2","Major Scale(no6,no7)(add b2) Bebop 4 inversion"
"5,1,1,2,1","Major Scale(no6,no7)(add b2) Bebop 5 inversion"
"1,1,2,1,3","Harmonic Major(no5,no7)(add b2) Bebop"
"1,2,1,3,4","Harmonic Major(no5,no7)(add b2) Bebop 1 inversion"
"2,1,3,4,1","Harmonic Major(no5,no7)(add b2) Bebop 2 inversion"
"1,3,4,1,1","Harmonic Major(no5,no7)(add b2) Bebop 3 inversion"
"3,4,1,1,2","Harmonic Major(no5,no7)(add b2) Bebop 4 inversion"
"4,1,1,2,1","Harmonic Major(no5,no7)(add b2) Bebop 5 inversion"
"1,1,2,1,4","Major Scale(no5,no7)(add b2) Bebop"
"1,2,1,4,3","Major Scale(no5,no7)(add b2) Bebop 1 inversion"
"2,1,4,3,1","Major Scale(no5,no7)(add b2) Bebop 2 inversion"
"1,4,3,1,1","Major Scale(no5,no7)(add b2) Bebop 3 inversion"
"4,3,1,1,2","Major Scale(no5,no7)(add b2) Bebop 4 inversion"
"3,1,1,2,1","Major Scale(no5,no7)(add b2) Bebop 5 inversion"
"5,2,1,1,2","Major(add b6) Bebop(no2,no3)"
"2,1,1,2,1","Major(add b6) Bebop(no2,no3) 1 inversion"
"1,1,2,1,5","Major(add b6) Bebop(no2,no3) 2 inversion"
"1,2,1,5,2","Major(add b6) Bebop(no2,no3) 3 inversion"
"2,1,5,2,1","Major(add b6) Bebop(no2,no3) 4 inversion"
"1,5,2,1,1","Major(add b6) Bebop(no2,no3) 5 inversion"
"2,2,1,5,1",Major(no5) #6 Bebop
"2,1,5,1,1",Major(no5) #6 Bebop 1 inversion
"1,5,1,1,2",Major(no5) #6 Bebop 2 inversion
"5,1,1,2,2",Major(no5) #6 Bebop 3 inversion
"1,1,2,2,1",Major(no5) #6 Bebop 4 inversion
"1,2,2,1,5",Major(no5) #6 Bebop 5 inversion
"1,1,2,2,2",-3Major Scale(rootless) #2 Bebop
"1,2,2,2,4",-3Major Scale(rootless) #2 Bebop 1 inversion
"2,2,2,4,1",-3Major Scale(rootless) #2 Bebop 2 inversion
"2,2,4,1,1",-3Major Scale(rootless) #2 Bebop 3 inversion
"2,4,1,1,2",-3Major Scale(rootless) #2 Bebop 4 inversion
"4,1,1,2,2",-3Major Scale(rootless) #2 Bebop 5 inversion
"3,1,1,2,2",Major Scale(no7) #2 Bebop
"1,1,2,2,3",Major Scale(no7) #2 Bebop 1 inversion
"1,2,2,3,3",Major Scale(no7) #2 Bebop 2 inversion
"2,2,3,3,1",Major Scale(no7) #2 Bebop 3 inversion
"2,3,3,1,1",Major Scale(no7) #2 Bebop 4 inversion
"3,3,1,1,2",Major Scale(no7) #2 Bebop 5 inversion
"2,2,4,2,1","Harmonic Major(no4,no5)(add b7) Bebop"
"2,4,2,1,1","Harmonic Major(no4,no5)(add b7) Bebop 1 inversion"
"4,2,1,1,2","Harmonic Major(no4,no5)(add b7) Bebop 2 inversion"
"2,1,1,2,2","Harmonic Major(no4,no5)(add b7) Bebop 3 inversion"
"1,1,2,2,4","Harmonic Major(no4,no5)(add b7) Bebop 4 inversion"
"1,2,2,4,2","Harmonic Major(no4,no5)(add b7) Bebop 5 inversion"
"1,1,2,3,1","Harmonic Major(no4,no7)(add b2) Bebop"
"1,2,3,1,4","Harmonic Major(no4,no7)(add b2) Bebop 1 inversion"
"2,3,1,4,1","Harmonic Major(no4,no7)(add b2) Bebop 2 inversion"
"3,1,4,1,1","Harmonic Major(no4,no7)(add b2) Bebop 3 inversion"
"1,4,1,1,2","Harmonic Major(no4,no7)(add b2) Bebop 4 inversion"
"4,1,1,2,3","Harmonic Major(no4,no7)(add b2) Bebop 5 inversion"
"1,1,2,3,2",Pentatonic(add b2) Bebop
"1,2,3,2,3",Pentatonic(add b2) Bebop 1 inversion
"2,3,2,3,1",Pentatonic(add b2) Bebop 2 inversion
"3,2,3,1,1",Pentatonic(add b2) Bebop 3 inversion
"2,3,1,1,2",Pentatonic(add b2) Bebop 4 inversion
"3,1,1,2,3",Pentatonic(add b2) Bebop 5 inversion
"1,1,2,3,3",7(add b2)(add 2) Bebop
"1,2,3,3,2",7(add b2)(add 2) Bebop 1 inversion
"2,3,3,2,1",7(add b2)(add 2) Bebop 2 inversion
"3,3,2,1,1",7(add b2)(add 2) Bebop 3 inversion
"3,2,1,1,2",7(add b2)(add 2) Bebop 4 inversion
"2,1,1,2,3",7(add b2)(add 2) Bebop 5 inversion
"3,1,1,2,4",Major Scale(no6) #2 Bebop
"1,1,2,4,1",Major Scale(no6) #2 Bebop 1 inversion
"1,2,4,1,3",Major Scale(no6) #2 Bebop 2 inversion
"2,4,1,3,1",Major Scale(no6) #2 Bebop 3 inversion
"4,1,3,1,1",Major Scale(no6) #2 Bebop 4 inversion
"1,3,1,1,2",Major Scale(no6) #2 Bebop 5 inversion
"2,2,1,1,2",Harmonic Major(no7) b5 Bebop
"2,1,1,2,4",Harmonic Major(no7) b5 Bebop 1 inversion
"1,1,2,4,2",Harmonic Major(no7) b5 Bebop 2 inversion
"1,2,4,2,2",Harmonic Major(no7) b5 Bebop 3 inversion
"2,4,2,2,1",Harmonic Major(no7) b5 Bebop 4 inversion
"4,2,2,1,1",Harmonic Major(no7) b5 Bebop 5 inversion
"2,5,1,2,1","Harmonic Major(no2,no3)(add b7) Bebop"
"5,1,2,1,1","Harmonic Major(no2,no3)(add b7) Bebop 1 inversion"
"1,2,1,1,2","Harmonic Major(no2,no3)(add b7) Bebop 2 inversion"
"2,1,1,2,5","Harmonic Major(no2,no3)(add b7) Bebop 3 inversion"
"1,1,2,5,1","Harmonic Major(no2,no3)(add b7) Bebop 4 inversion"
"1,2,5,1,2","Harmonic Major(no2,no3)(add b7) Bebop 5 inversion"
"2,4,1,1,3",Harmonic Major(no3) #4 Bebop
"4,1,1,3,1",Harmonic Major(no3) #4 Bebop 1 inversion
"1,1,3,1,2",Harmonic Major(no3) #4 Bebop 2 inversion
"1,3,1,2,4",Harmonic Major(no3) #4 Bebop 3 inversion
"3,1,2,4,1",Harmonic Major(no3) #4 Bebop 4 inversion
"1,2,4,1,1",Harmonic Major(no3) #4 Bebop 5 inversion
"3,3,1,1,3",Harmonic Minor(no2) #4 Bebop
"3,1,1,3,1",Harmonic Minor(no2) #4 Bebop 1 inversion
"1,1,3,1,3",Harmonic Minor(no2) #4 Bebop 2 inversion
"1,3,1,3,3",Harmonic Minor(no2) #4 Bebop 3 inversion
"3,1,3,3,1",Harmonic Minor(no2) #4 Bebop 4 inversion
"1,3,3,1,1",Harmonic Minor(no2) #4 Bebop 5 inversion
"2,1,1,3,1","Harmonic Major(no4,no7)(add #2) Bebop"
"1,1,3,1,4","Harmonic Major(no4,no7)(add #2) Bebop 1 inversion"
"1,3,1,4,2","Harmonic Major(no4,no7)(add #2) Bebop 2 inversion"
"3,1,4,2,1","Harmonic Major(no4,no7)(add #2) Bebop 3 inversion"
"1,4,2,1,1","Harmonic Major(no4,no7)(add #2) Bebop 4 inversion"
"4,2,1,1,3","Harmonic Major(no4,no7)(add #2) Bebop 5 inversion"
"2,1,4,1,1","Melodic Minor(no4,no7)(add b6) Bebop"
"1,4,1,1,3","Melodic Minor(no4,no7)(add b6) Bebop 1 inversion"
"4,1,1,3,2","Melodic Minor(no4,no7)(add b6) Bebop 2 inversion"
"1,1,3,2,1","Melodic Minor(no4,no7)(add b6) Bebop 3 inversion"
"1,3,2,1,4","Melodic Minor(no4,no7)(add b6) Bebop 4 inversion"
"3,2,1,4,1","Melodic Minor(no4,no7)(add b6) Bebop 5 inversion"
"2,2,3,1,1",Pentatonic(add b6) Bebop
"2,3,1,1,3",Pentatonic(add b6) Bebop 1 inversion
"3,1,1,3,2",Pentatonic(add b6) Bebop 2 inversion
"1,1,3,2,2",Pentatonic(add b6) Bebop 3 inversion
"1,3,2,2,3",Pentatonic(add b6) Bebop 4 inversion
"3,2,2,3,1",Pentatonic(add b6) Bebop 5 inversion
"2,1,1,3,2",Pentatonic(add #2) Bebop
"1,1,3,2,3",Pentatonic(add #2) Bebop 1 inversion
